Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,7.945000,8.165000,7.860000,8.150000,7.075696,47950000
2016-09-05,8.160000,8.285000,7.940000,8.035000,6.975855,52379800
2016-09-12,8.135000,8.215000,7.930000,8.035000,6.975855,44329800
2016-09-19,8.120000,8.150000,7.975000,7.980000,6.928103,29741400
2016-09-26,7.935000,8.060000,7.880000,7.890000,6.849967,42084000
2016-10-03,7.915000,8.110000,7.740000,7.800000,6.771832,29671400
2016-10-10,7.885000,8.355000,7.755000,7.830000,6.797876,80295600
2016-10-17,7.845000,8.005000,7.790000,7.935000,6.889036,43753400
2016-10-24,7.945000,8.035000,7.620000,7.645000,6.706819,40562800
2016-10-31,7.655000,7.690000,7.465000,7.520000,6.597158,38743200
2016-11-07,7.635000,7.670000,7.095000,7.255000,6.364679,86674000
2016-11-14,7.170000,7.170000,6.935000,6.945000,6.092721,91885400
2016-11-21,6.945000,7.345000,6.870000,7.265000,6.373451,45349800
2016-11-28,7.400000,7.400000,7.080000,7.155000,6.276951,51865600
2016-12-05,7.180000,7.455000,7.170000,7.370000,6.465567,44002200
2016-12-12,7.340000,7.540000,7.270000,7.450000,6.535748,36194600
2016-12-19,7.460000,7.485000,7.290000,7.375000,6.469953,25023200
2016-12-26,7.395000,7.465000,7.335000,7.415000,6.505044,18084600
2017-01-02,7.390000,7.610000,7.230000,7.410000,6.500658,58851000
2017-01-09,7.355000,7.690000,7.100000,7.250000,6.360291,115678000
2017-01-16,7.220000,7.265000,7.130000,7.180000,6.298882,44038000
2017-01-23,7.175000,7.185000,6.880000,6.970000,6.114653,101281400
2017-01-30,7.020000,7.055000,6.710000,6.940000,6.088335,109093600
2017-02-06,6.940000,7.340000,6.900000,7.250000,6.360291,91307400
2017-02-13,7.365000,7.620000,7.310000,7.440000,6.526976,58955400
2017-02-20,7.545000,7.650000,7.475000,7.605000,6.671728,47663400
2017-02-27,7.620000,7.735000,7.565000,7.690000,6.746296,44474000
2017-03-06,7.650000,7.755000,7.465000,7.750000,6.798934,77296600
2017-03-13,7.815000,7.955000,7.610000,7.670000,6.728750,81426000
2017-03-20,7.750000,7.925000,7.675000,7.835000,6.873502,51224400
2017-03-27,7.875000,7.960000,7.810000,7.900000,6.930526,40526200
2017-04-03,7.865000,7.885000,7.600000,7.635000,6.698046,48803400
2017-04-10,7.480000,7.635000,7.240000,7.240000,6.351520,79842200
2017-04-17,7.260000,7.285000,7.150000,7.240000,6.351520,59600400
2017-04-24,7.285000,7.305000,7.180000,7.280000,6.386611,57773000
2017-05-01,7.275000,7.415000,7.245000,7.400000,6.491884,45694800
2017-05-08,7.425000,7.755000,7.385000,7.640000,6.702432,91071600
2017-05-15,7.590000,7.655000,7.410000,7.580000,6.649795,49361800
2017-05-22,7.580000,7.845000,7.505000,7.765000,6.812092,52795800
2017-05-29,7.765000,7.795000,7.505000,7.590000,6.658568,43001600
2017-06-05,7.570000,7.810000,7.315000,7.475000,6.657104,75118000
2017-06-12,7.590000,7.645000,7.285000,7.335000,6.532423,49925600
2017-06-19,7.345000,7.505000,7.310000,7.425000,6.612576,47833000
2017-06-26,7.455000,7.600000,7.265000,7.510000,6.688276,62868400
2017-07-03,7.595000,7.615000,7.420000,7.520000,6.697181,36719200
2017-07-10,7.735000,7.965000,7.630000,7.835000,6.977715,89903200
2017-07-17,7.860000,7.870000,7.675000,7.840000,6.982167,62803400
2017-07-24,7.860000,7.965000,7.750000,7.855000,6.995527,41823600
2017-07-31,7.950000,7.960000,7.805000,7.835000,6.977715,44545800
2017-08-07,7.785000,7.830000,7.645000,7.745000,6.897563,33566200
2017-08-14,7.770000,8.075000,7.245000,7.395000,6.585858,109074600
2017-08-21,7.025000,7.590000,6.940000,7.575000,6.746163,157587400
2017-08-28,7.685000,7.725000,7.405000,7.420000,6.608122,75916400
